snomed_concept_id,c,description
1670301000006105,5000,
1051791000006102,5000,
1108631000006103,5000,
218630003,5000,Adverse reaction caused by mefenamic acid (disorder)
293463005,5000,Frusemide adverse reaction (disorder)
1106321000006106,5000,
292057000,5000,Dihydrocodeine adverse reaction (disorder)
1052811000006106,5000,
91939003,5000,Allergy to sulfonamide (finding)
1698371000006107,5000,
1099201000006106,5000,
1133981000006109,4900,
293361006,4900,Ferrous fumarate adverse reaction (disorder)
712840004,4900,Allergy to hazelnut (finding)
1044221000006105,4900,
1094781000006105,4800,
1040861000006108,4800,
1056941000006104,4700,
1047551000006105,4700,
1079891000006106,4700,
170850000,4700,Rheumatology drug side effect (finding)
432989008,4700,Allergic reaction caused by tattoo ink (disorder)
201551000000109,4700,Allergy to adhesive plaster (disorder)
1030291000006102,4600,
1116351000006100,4600,
1015761000006103,4600,
1019441000006108,4600,
1070321000006109,4600,
1090841000006101,4600,
1113181000006104,4600,
1030631000006104,4500,
1602321000006106,4500,
1045091000006100,4500,
1578481000006103,4500,
292495000,4500,Salbutamol adverse reaction (disorder)
86062001,4500,Contact dermatitis caused by drugs AND/OR medicine (disorder)
447961002,4400,Allergy to dietary mushroom (finding)
1081611000006109,4400,
47318007,4400,Drug-induced neutropenia (disorder)
442728009,4400,Non-celiac gluten sensitivity (finding)
1022411000006109,4400,
294593005,4300,Allergy to chloramphenicol (finding)
1112561000006106,4300,
1115931000006101,4300,
1043251000006103,4300,
1020211000006109,4300,
609549002,4200,Non-allergic hypersensitivity to angiotensin II receptor antagonist (finding)
292111004,4200,Proton pump inhibitor adverse reaction (disorder)
418434002,4200,Allergy to anesthetic (finding)
1133051000006102,4200,
1115371000006104,4200,
1036151000006103,4200,
1048751000006102,4100,
1031501000006102,4100,
1070981000006109,4100,
1011981000006108,4100,
1061231000006102,4100,
292078002,4100,Indomethacin adverse reaction (disorder)
1064711000006101,4100,
341009,4100,ABO incompatibility reaction (disorder)
1067131000006101,4100,
1108721000006109,4000,
1081121000006108,4000,
203483005,4000,Osteonecrosis caused by drug (disorder)
418779002,3900,Allergy to tomato (finding)
1037771000006107,3900,
1077131000006106,3900,
1072291000006104,3900,
1052501000006106,3900,
292275009,3900,Antidepressant drug adverse reaction (disorder)
1093871000006101,3800,
1028681000006102,3800,
1774281000006106,3800,
1654161000006101,3800,
1028911000006103,3800,
60414003,3800,Acquired lactase deficiency (disorder)
1074961000006107,3800,
1129541000006107,3800,
1602341000006104,3800,
1062401000006100,3700,
1054661000006103,3700,
1115311000006108,3700,
294881007,3700,Allergy to warfarin (finding)
1097941000006105,3700,
1032161000006102,3700,
1085861000006105,3700,
213338000,3600,Injection site erythema (disorder)
1011291000006104,3600,
1019641000006105,3600,
361268000,3600,Alcohol-induced epilepsy (disorder)
292428006,3600,Metoprolol adverse reaction (disorder)
1080051000006108,3600,
1011501000006108,3600,
1012851000006104,3600,
1104631000006108,3600,
1115881000006107,3600,
292844007,3600,Aciclovir adverse reaction (disorder)
1077651000006105,3500,
1017671000006108,3500,
293138000,3500,Carbimazole adverse reaction (disorder)
1982431000006102,3500,
1578471000006101,3500,
1060181000006101,3500,
1018041000006107,3500,
1115851000006104,3500,
1010141000006108,3500,
1064831000006104,3500,
1013121000006107,3500,
293426001,3500,Bezafibrate adverse reaction (disorder)
1081191000006105,3400,
1103481000006108,3400,
1050381000006106,3400,
1129161000006102,3400,
241931004,3400,Bee sting-induced anaphylaxis (disorder)
292382006,3400,Haloperidol adverse reaction (disorder)
292620007,3400,Drug groups and agents primarily acting on skin adverse reaction (disorder)
1063451000006106,3400,
1016621000006105,3400,
292927007,3400,Neomycin adverse reaction (disorder)
88924008,3400,Rh incompatibility reaction (disorder)
23012005,3300,Contact dermatitis caused by solvents (disorder)
294091000119104,3300,Headache caused by drug (finding)
1114431000006108,3300,
1048451000006105,3300,
292463001,3300,Verapamil adverse reaction (disorder)
293454008,3300,Thiazide diuretic adverse reaction (disorder)
1057341000006101,3300,
1697941000006104,3300,
292139003,3300,Lactulose adverse reaction (disorder)
200843008,3300,Allergic contact dermatitis caused by cosmetic (disorder)
200845001,3200,Allergic contact dermatitis caused by dye (disorder)
1022711000006103,3200,
1098191000006103,3200,
293047005,3200,Tetracyclines group adverse reaction (disorder)
1107881000006102,3200,
420094007,3200,Gentamicin adverse reaction (disorder)
1025531000006105,3200,
1010281000006105,3200,
10676871000119103,3100,Allergic contact dermatitis caused by chemical (disorder)
293495006,3100,Antihypertensive adverse reaction (disorder)
1103941000006109,3100,
292284009,3100,Nortriptyline adverse reaction (disorder)
1056791000006106,3100,
197493001,3100,Malabsorption caused by intolerance to soy protein (disorder)
13511000122108,3100,Allergy to pineapple (finding)
1066441000006104,3100,
1125471000006101,3100,
1062251000006102,3100,
425525006,3100,Allergy to dairy food (finding)
1059831000006105,3000,
1108411000006107,3000,
1039171000006104,3000,
1082351000006106,3000,
293266004,3000,Thyroxine adverse reaction (disorder)
1030661000006108,3000,
1011481000006103,3000,
1694991000006104,3000,
1060711000006107,3000,
1071031000006100,3000,
1117471000006100,2900,
609537003,2900,Non-allergic hypersensitivity to angiotensin-converting enzyme inhibitor (finding)
292283003,2900,Lofepramine adverse reaction (disorder)
1021551000006100,2900,
1109771000006100,2900,
1069441000006107,2900,
293233003,2900,Combined oral contraceptive adverse reaction (disorder)
419042001,2900,"Anaphylactic shock, caused by adverse effect of correct medicinal substance properly administered (disorder)"
170869005,2900,Gynecological drug side effect (finding)
2013601000006106,2900,
292937002,2900,Vancomycin adverse reaction (disorder)
1129921000006106,2900,
1037211000006108,2900,
1050301000006102,2800,
441690002,2800,Drug-induced hyperglycemia (disorder)
1064691000006104,2800,
1123581000006103,2800,
1013291000006100,2800,
1083561000006107,2800,
1113841000006102,2800,
292121007,2800,Sulfasalazine adverse reaction (disorder)
2003101000006101,2800,
293517002,2800,Digoxin adverse reaction (disorder)
1090791000006104,2800,
1070721000006108,2800,
292853000,2800,Hydroxychloroquine adverse reaction (disorder)
1091051000006102,2800,
1065901000006100,2800,
1696491000006104,2800,
218498003,2800,Adverse reaction caused by antihistamines (disorder)
1711671000006101,2800,
1031131000006101,2700,
267798001,2700,Ingestion dermatitis due to drugs (disorder)
1137461000006103,2700,
1014851000006107,2700,
200892002,2700,Generalized skin eruption caused by drug and medicament (disorder)
1106651000006106,2700,
1136711000006105,2700,
1124591000006102,2700,
1123781000006105,2700,
1010931000006100,2700,
1079511000006103,2700,
418603006,2600,Minocycline adverse reaction (disorder)
1011931000006107,2600,
1091031000006109,2600,
26532007,2600,Contact dermatitis caused by scabicide (disorder)
158058005,2600,Adverse reaction caused by tetanus antitoxin (disorder)
292150000,2600,Mebeverine adverse reaction (disorder)
417906002,2600,Hydrocortisone adverse reaction (disorder)
293396006,2600,Hydroxocobalamin adverse reaction (disorder)
1078581000006102,2500,
1022561000006108,2500,
1131081000006109,2500,
1076691000006101,2500,
190751001,2500,Primary intolerance to lactose (finding)
1103571000006109,2500,
1066981000006100,2500,
1016901000006105,2500,
1066471000006107,2500,
1040941000006104,2500,
213020009,2500,Allergy to egg protein (finding)
1602441000006107,2500,
1054911000006107,2500,
1119481000006108,2500,
1852091000006106,2500,
1019841000006106,2500,
292982003,2400,Pivmecillinam adverse reaction (disorder)
1134641000006109,2400,
1111791000006101,2400,
1071991000006102,2400,
1093371000006106,2400,
1039721000006104,2400,
1917631000006103,2400,
1040771000006105,2400,
1076181000006109,2400,
1021191000006104,2400,
292811001,2400,Nystatin adverse reaction (disorder)
218799005,2400,Adverse reaction caused by caffeine (disorder)
1102881000006100,2400,
1084141000006104,2400,
170672000,2400,Gastrointestinal tract drug side effect (finding)
1085891000006102,2400,
1095481000006101,2400,
1092731000006104,2400,
292441005,2400,Sotalol adverse reaction (disorder)
1013341000006102,2400,
269275003,2300,Seafood causing toxic effect (disorder)
1094811000006107,2300,
41299009,2300,Iatrogenic Cushing's disease (disorder)
1061671000006102,2300,
230315008,2300,Drug-induced dystonia (disorder)
1566621000006106,2300,
1070101000006102,2300,
1011731000006105,2300,
1115761000006107,2300,
1071831000006106,2300,
1028791000006106,2300,
1036861000006107,2300,
269723006,2200,Adverse reaction caused by antirheumatic (disorder)
1104791000006100,2200,
1051141000006107,2200,
1079771000006101,2200,
1011321000006108,2200,
1081451000006108,2200,
293000001,2200,Cephradine adverse reaction (disorder)
1656811000006104,2200,
1694851000006101,2200,
422593004,2200,Acute renal failure caused by angiotensin-converting-enzyme inhibitor (disorder)
1781781000006106,2200,
1080981000006101,2200,
218621006,2200,Adverse reaction caused by piroxicam (disorder)
292061006,2200,Pethidine analog adverse reaction (disorder)
292925004,2200,Streptomycin adverse reaction (disorder)
1027961000006104,2200,
1135361000006104,2200,
213026003,2200,Malignant hyperpyrexia caused by anesthetic (finding)
292180005,2200,Lignocaine adverse reaction (disorder)
584651000000103,2200,Contact dermatitis due to other chemical products (disorder)
1107751000006104,2200,
419914000,2200,Anesthetics adverse reaction (disorder)
1093771000006105,2200,
1070411000006106,2100,
1727391000006109,2100,
1751161000006109,2100,
419219000,2100,Drug-induced nausea and vomiting (disorder)
1055561000006100,2100,
370540009,2100,Adverse reaction caused by food (disorder)
1093801000006107,2100,
1710051000006109,2100,
1032251000006107,2100,
292584008,2100,Promethazine adverse reaction (disorder)
1027941000006103,2100,
1116661000006106,2100,
1066451000006102,2100,
1113971000006104,2100,
1083051000006104,2100,
1024791000006100,2100,
1076711000006103,2100,
293116002,2100,Adverse reaction to vaccine product containing Streptococcus pneumoniae antigen (disorder)
1119571000006109,2100,
1012631000006107,2100,
1082531000006105,2100,
1073321000006104,2100,
1861441000006109,2100,
1040931000006109,2100,
1016721000006102,2100,
1091431000006100,2000,
1014091000006105,2000,
1013351000006100,2000,
13482971000006104,2000,
293350003,2000,Tranexamic acid adverse reaction (disorder)
1011441000006109,2000,
169465000,2000,Hypertension caused by oral contraceptive pill (disorder)
292290008,2000,Dothiepin adverse reaction (disorder)
1134771000006106,2000,
292799005,2000,Anti-infectives adverse reaction (disorder)
802711000000101,2000,Glucose galactose intolerance (disorder)
292515001,2000,Clonidine adverse reaction (disorder)
1781691000006102,2000,
1077041000006100,2000,
1072981000006108,2000,
1027931000006108,2000,
1044771000006103,2000,
1747121000006107,1900,
1084341000006101,1900,
239845005,1900,Gout caused by drug (disorder)
1089411000006106,1900,
1127721000006102,1900,
1040281000006104,1900,
46240005,1900,Contact dermatitis caused by rubber (disorder)
1055671000006106,1900,
1027951000006101,1900,
1095211000006107,1900,
1056961000006100,1900,
1604261000006101,1900,
292162001,1900,General anesthetic drug adverse reaction (disorder)
1105151000006108,1900,
1040541000006107,1900,
1072461000006108,1800,
1097171000006100,1800,
1105631000006109,1800,
1111861000006104,1800,
1094051000006100,1800,
1039621000006107,1800,
292327002,1800,Phenytoin adverse reaction (disorder)
1750871000006101,1800,
443257002,1800,Endocrine drug side effect (finding)
1116811000006109,1800,
1135291000006101,1800,
1085971000006109,1800,
1012081000006104,1800,
1124681000006101,1800,
240101000,1800,Drug-induced myopathy (disorder)
218356002,1800,Adverse reaction caused by sulfamethoxazole (disorder)
292248002,1800,Tamoxifen adverse reaction (disorder)
1080061000006105,1800,
1012751000006105,1800,
1664781000006101,1800,
292319006,1800,Sodium valproate adverse reaction (disorder)
1085211000006108,1800,
1111741000006105,1800,
1050851000006108,1800,
1898431000006108,1800,
1017851000006102,1800,
282093000,1700,Allergic reaction caused by venom (disorder)
1057521000006103,1700,
293393003,1700,Folic acid adverse reaction (disorder)
292176000,1700,Local anesthetic drug adverse reaction (disorder)
1069641000006109,1700,
292587001,1700,Chlorpheniramine adverse reaction (disorder)
1698961000006101,1700,
1054641000006102,1700,
1016441000006100,1700,
1020821000006100,1700,
1090891000006105,1700,
1052141000006102,1700,
1022751000006102,1700,
293214008,1700,Norethisterone adverse reaction (disorder)
1063501000006108,1700,
1100941000006102,1700,
1019651000006107,1700,
1071411000006103,1700,
1082421000006108,1700,
849331000000107,1700,Risedronate sodium not tolerated (situation)
292822002,1700,Miconazole adverse reaction (disorder)
1124241000006109,1700,
1057581000006104,1700,
1011051000006101,1700,
1016211000006100,1700,
1086441000006102,1700,
1103281000006109,1700,
1630701000006109,1700,
1049341000006109,1700,
1023291000006107,1700,
1077791000006106,1700,
1106421000006100,1700,
293115003,1700,Adverse reaction to vaccine product containing Bordetella pertussis antigen (disorder)
1122981000006103,1600,
1024671000006106,1600,
1037311000006104,1600,
1123491000006104,1600,
1068751000006106,1600,
1138241000006102,1600,
1045941000006105,1600,
1040591000006103,1600,
